,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value
Newfoundland,40,66.04,71.12,45.359237,68.0388555,9.0,10.0,0.4,0.6,0.6,0.8,0.8
Norfolk Terrier,126,22.86,25.4,4.9895160700000005,5.4431084400000005,12.0,16.0,0.4,0.6,0.6,0.6,0.8
Norrbottenspets,,41.910000000000004,45.72,9.071847400000001,13.6077711,14.0,17.0,0.4,0.4,0.8,,
Norwegian Buhund,165,40.64,46.99,11.793401620000001,18.143694800000002,12.0,15.0,0.4,0.6,0.8,0.8,0.8
Norwegian Elkhound,97,49.53,52.07,21.772433760000002,24.947580350000003,12.0,15.0,0.4,0.6,0.6,0.6,0.8
Norwegian Lundehund,191,30.48,38.1,9.071847400000001,13.6077711,12.0,15.0,0.4,0.6,0.8,0.6,0.4
Norwich Terrier,108,25.4,25.4,5.4431084400000005,5.4431084400000005,12.0,15.0,0.4,0.6,0.8,0.6,0.8
Nova Scotia Duck Tolling Retriever,83,43.18,53.34,15.875732950000002,22.6796185,12.0,14.0,0.4,0.6,1.0,0.8,0.8
Old English Sheepdog,72,53.34,55.88,27.2155422,45.359237,10.0,12.0,0.6,0.6,0.6,0.4,0.6
Otterhound,182,60.96,68.58,36.287389600000004,52.163122550000004,10.0,13.0,0.4,0.6,0.6,0.2,0.6
Papillon,54,20.32,27.94,2.2679618500000003,4.535923700000001,14.0,16.0,0.4,0.6,0.6,1.0,1.0
Parson Russell Terrier,117,33.02,35.56,5.8967008100000005,7.71107029,13.0,15.0,0.4,0.4,1.0,0.6,0.8
Pekingese,92,15.24,22.86,6.35029318,6.35029318,12.0,14.0,0.6,0.6,0.4,0.2,0.4
Pembroke Welsh Corgi,13,25.4,30.48,12.70058636,13.6077711,12.0,13.0,0.4,0.8,0.8,0.6,1.0
Perro de Presa Canario,,55.88,66.04,38.10175908,49.895160700000005,9.0,11.0,0.2,0.6,0.4,,
Peruvian Inca Orchid,,24.765,65.405,3.855535145,24.947580350000003,12.0,14.0,0.2,0.8,0.8,0.6,0.4
Petit Basset Griffon Vendéen,156,33.02,38.1,11.33980925,18.143694800000002,12.0,14.0,0.4,0.4,0.8,0.4,0.8
Pharaoh Hound,172,53.34,63.5,20.41165665,24.947580350000003,12.0,14.0,0.4,0.6,0.8,0.4,0.4
Plott Hound,171,50.8,63.5,18.143694800000002,27.2155422,12.0,14.0,0.2,0.4,0.8,0.4,0.6
Pointer,114,58.42,71.12,20.41165665,34.01942775,12.0,17.0,0.4,0.4,0.8,0.6,0.6
Polish Lowland Sheepdog,170,43.18,50.8,13.6077711,22.6796185,12.0,14.0,0.8,0.6,0.8,0.2,0.2
Pomeranian,23,15.24,17.78,1.3607771100000001,3.17514659,12.0,16.0,0.6,0.6,0.6,0.6,0.6
Poodle (Miniature),7,25.4,38.1,4.535923700000001,6.80388555,10.0,18.0,,,,,
Poodle (Standard),7,38.1,38.1,18.143694800000002,31.751465900000003,10.0,18.0,1.0,0.2,0.6,1.0,0.8
Poodle (Toy),7,25.4,25.4,1.81436948,2.7215542200000002,10.0,18.0,1.0,0.2,0.6,1.0,0.8
Porcelaine,,55.88,58.42,24.947580350000003,28.12272694,12.0,13.0,0.2,,0.8,,0.6
Portuguese Podengo,,40.64,71.12,15.875732950000002,29.937096420000003,10.0,12.0,0.4,0.8,0.8,0.6,0.4
Portuguese Podengo Pequeno,154,20.32,30.48,4.082331330000001,5.8967008100000005,12.0,15.0,0.4,0.6,0.8,0.6,0.8
Portuguese Pointer,,52.07,55.88,15.875732950000002,26.761949830000002,14.0,14.0,0.2,0.4,0.8,1.0,0.8
Portuguese Sheepdog,,41.910000000000004,54.61,17.009713875,26.761949830000002,12.0,13.0,0.4,0.4,0.8,,
Portuguese Water Dog,50,43.18,58.42,15.875732950000002,27.2155422,11.0,13.0,0.8,0.6,0.8,0.8,0.6
Pudelpointer,,55.88,66.04,20.41165665,31.751465900000003,14.0,14.0,0.2,0.6,0.6,,
Pug,28,25.4,33.02,6.35029318,8.164662660000001,13.0,15.0,0.4,0.8,0.6,0.6,0.8
Puli,160,40.64,43.18,11.33980925,15.875732950000002,10.0,15.0,1.0,0.2,0.6,0.4,0.4
